id,date,input,voters,imgur_id
111,"2016-08-17 19:09:17.947",a,"[""58749968"", ""57238305"", ""47429659"", ""37821777"", ""32410376"", ""59327274"", ""117382171"", ""57000318""]",DVMtW8m
112,"2016-08-17 19:16:42.667",a,"[""39288809"", ""65591158"", ""37821777""]",1IP6q7P
113,"2016-08-17 19:25:48.056",a,"[""128183026"", ""85343075"", ""86131172"", ""119471527"", ""118905000"", ""39288809""]",E9XNXCV
114,"2016-08-17 19:37:44.227",a,"[""54594128"", ""128183026"", ""31159198"", ""58550558""]",RskpEbs
115,"2016-08-17 19:45:14.117",a,"[""72142832"", ""100836634"", ""31159198"", ""31895917"", ""46118126""]",ftk0zOK
116,"2016-08-17 19:55:22.217",a,"[""110713784"", ""58261904"", ""60760818""]",09YQ8FS
117,"2016-08-17 20:09:53.313",a,"[""9562001"", ""86131172"", ""37312407"", ""88880840"", ""85985391"", ""56868751""]",4Hcgve7
118,"2016-08-17 20:22:35.481",down,"[""39288809""]",6gziQue
119,"2016-08-17 20:32:42.521",right,"[""57068274"", ""96999282"", ""70159901"", ""94833614"", ""56868751""]",a7B6utw
120,"2016-08-17 20:42:16.688",right,"[""36918209"", ""81757429"", ""95298133""]",24n2CKR
121,"2016-08-17 20:51:14.482",right,"[""84870041"", ""109001466"", ""77831731""]",Kn9fgJO
122,"2016-08-17 20:59:21.878",up,[],qicky4b
123,"2016-08-17 21:11:58.612",a,"[""56828177"", ""44899988"", ""101974965"", ""94553799""]",F5zrsXa
124,"2016-08-17 21:21:27.062",a,"[""69175124"", ""132464686""]",5C7gv24
125,"2016-08-17 21:30:32.095",a,"[""40356576"", ""129885409"", ""47429659"", ""83840524"", ""132387975""]",Y7QuDnj
126,"2016-08-17 21:38:54.529",a,"[""131141080"", ""9562001"", ""132466580"", ""126568488""]",xBLU08H
127,"2016-08-17 21:49:39.455",a,"[""126568488"", ""96000843"", ""61923259"", ""120895959"", ""97039655""]",1G2zCXj
128,"2016-08-17 21:59:21.045",down,"[""68617283"", ""101974965"", ""45888902"", ""67461912"", ""39442089"", ""84299423""]",mZ15OjL
129,"2016-08-17 22:11:34.071",right,"[""9562001"", ""58120845""]",tIvouwS
130,"2016-08-17 22:19:37.442",right,"[""72844032"", ""83528364"", ""121307303""]",eN2FYWY
131,"2016-08-17 22:28:36.088",right,"[""132429296"", ""37821777"", ""99426210"", ""45888902"", ""39442089"", ""79833388""]",AOnT0HG
132,"2016-08-17 22:37:21.668",right,"[""40356576"", ""99426210"", ""36545139"", ""65651156"", ""45888902"", ""97968475"", ""42438894""]",nbLJKQL
133,"2016-08-17 22:47:24.935",right,"[""77787385"", ""58031234"", ""132470258"", ""46307503""]",zse6HSZ
134,"2016-08-17 23:01:07.307",a,"[""81098598"", ""75788230"", ""115909159"", ""86339624"", ""57286635"", ""94561039"", ""58261904"", ""81666067"", ""132049944"", ""132440473"", ""82504348"", ""100418526"", ""57193151""]",5wmRrvz
135,"2016-08-17 23:14:16.762",down,"[""132429296"", ""82497202"", ""84097411"", ""107241509"", ""75788230"", ""57218983"", ""81666067""]",HsO8nuZ
136,"2016-08-17 23:24:11.338",down,"[""99426210"", ""125967955"", ""101974965"", ""117494629""]",1S21Xn9
137,"2016-08-17 23:35:02.655",left,"[""92220049"", ""73582259"", ""57241061"", ""47045302"", ""45041752"", ""97030601"", ""120422059""]",cFMmsAY
138,"2016-08-17 23:43:08.327",left,"[""132472240"", ""132049944"", ""77727992"", ""44719613"", ""45888902""]",5MrAaGH
139,"2016-08-17 23:51:53.228",left,"[""103900600"", ""58158075"", ""101974965"", ""31864246""]",BcQWQKX
140,"2016-08-18 00:00:36.628",left,"[""132429296"", ""132470258"", ""125967955"", ""86013669"", ""81098598""]",67p8igW
141,"2016-08-18 00:11:53.702",a,"[""38873691"", ""101138071"", ""121067510"", ""56384855""]",HCEA3tB
142,"2016-08-18 00:21:07.550",right,"[""96001713"", ""57351763"", ""38873691"", ""97030601""]",AcLbi6F
143,"2016-08-18 00:28:34.735",right,"[""96001713"", ""30834562"", ""125967955"", ""122302548"", ""118905000"", ""71655214""]",zau0ntM
144,"2016-08-18 00:38:19.117",right,"[""56890481"", ""56384855"", ""125967955"", ""93011187"", ""107843593"", ""96606025"", ""121307303""]",OyYRU5l
145,"2016-08-18 00:49:28.001",right,"[""81063121"", ""58031234"", ""95576019"", ""73582259"", ""61760614"", ""38907865"", ""86763848"", ""107843593"", ""93011187""]",jTbI8Lm
146,"2016-08-18 01:00:11.377",up,"[""91943064"", ""117494629""]",2GJiy8t
147,"2016-08-18 01:13:07.834",up,"[""92411906"", ""93011187"", ""132480260"", ""58119782"", ""82906696"", ""42550185"", ""7503068"", ""102545885"", ""79780446""]",Qk1ZdK1
148,"2016-08-18 01:28:04.330",a,"[""58749968"", ""58031234"", ""132480260"", ""82906696"", ""130261897"", ""111273866"", ""58091595"", ""57710864"", ""95576019"", ""28342518"", ""88402168"", ""68637945"", ""79780446""]",VzA1LaU
