id,date,input,voters,imgur_id
376,"2016-02-13 05:56:23.412",up,[],
377,"2016-02-13 06:00:32.409",a,[],
378,"2016-02-13 06:04:41.431",a,[],
379,"2016-02-13 06:08:50.442",a,[],
380,"2016-02-13 06:12:59.460",a,[],
381,"2016-02-13 06:17:08.454",a,[],
382,"2016-02-13 06:21:17.493",a,[],
383,"2016-02-13 06:25:26.526",a,[],
384,"2016-02-13 06:29:35.511",a,[],
385,"2016-02-13 06:33:44.522",a,[],
386,"2016-02-13 06:37:53.514",a,[],
387,"2016-02-13 06:42:02.562",up,[],
388,"2016-02-13 06:46:11.604",up,[],
389,"2016-02-13 06:50:20.623",up,[],
390,"2016-02-13 06:54:29.645",up,[],
391,"2016-02-13 06:58:38.631",up,[],
392,"2016-02-13 07:02:47.644",up,[],
393,"2016-02-13 07:06:56.673",up,"[""99094701"", ""231735""]",
394,"2016-02-13 07:11:05.713",up,[],
395,"2016-02-13 07:15:14.776",select,[],
396,"2016-02-13 07:19:23.765",b,[],
397,"2016-02-13 07:23:32.814",select,[],
398,"2016-02-13 07:27:41.825",up,[],
399,"2016-02-13 07:31:50.849",b,[],
400,"2016-02-13 07:35:59.865",up,[],
401,"2016-02-13 07:40:08.883",up,[],
402,"2016-02-13 07:44:17.896",up,[],
403,"2016-02-13 07:48:26.894",up,[],
404,"2016-02-13 07:52:35.907",up,[],
405,"2016-02-13 07:56:44.954",up,[],
406,"2016-02-13 08:00:53.968",right,[],
407,"2016-02-13 08:05:02.988",right,"[""44751338""]",
408,"2016-02-13 08:09:11.965",right,[],
409,"2016-02-13 08:13:21.047",left,[],
410,"2016-02-13 08:17:30.068",left,[],
411,"2016-02-13 08:21:39.081",down,[],
412,"2016-02-13 08:25:48.128",down,[],
413,"2016-02-13 08:29:57.137",down,[],
414,"2016-02-13 08:34:06.156",down,[],
415,"2016-02-13 08:38:15.157",left,[],
416,"2016-02-13 08:42:24.170",a,[],
417,"2016-02-13 08:46:33.209",down,[],
418,"2016-02-13 08:50:42.259",down,[],
419,"2016-02-13 08:54:51.301",down,[],
420,"2016-02-13 08:59:00.301",down,[],
421,"2016-02-13 09:03:09.330",down,[],
422,"2016-02-13 09:07:18.744",down,[],
423,"2016-02-13 09:11:28.633",down,"[""58031234""]",
424,"2016-02-13 09:15:38.553",left,[],
425,"2016-02-13 09:19:48.437",left,[],
